operator,accidents,category
Ritch Air,1,Commercial
Roraima Airways,1,Commercial
Rovos Air,1,Commercial
Royal Air Freight,1,Cargo
Ryan Air Service,1,Commercial
Ryanair,3,Commercial
S7 Airlines,1,Commercial
SA Airlink,1,Commercial
SVG Air,1,Commercial
"Safari Express Airways, opf UN WFP",1,Commercial
Safe Air Company (SAC),1,Commercial
Saratov Airlines,1,Commercial
"Saudi Arabian, lsf ACT Airlines",1,Commercial
"Saudi Arabian, lsf Onur Air",1,Commercial
"Saudi Arabian, opb ACT Airlines",1,Commercial
Seair Seaplanes,2,Commercial
Serve Air,3,Commercial
Shelter Charter Services,1,Private
Sierra West Airlines,2,Commercial
Sigma Airlines,1,Commercial
Silver Air,1,Commercial
Silverstone Air Services,1,Commercial
"Silverstone Air Services, opf Saacid Airlines",1,Commercial
Singapore Airlines,1,Commercial
Sky Lease Cargo,1,Cargo
"SkyWest Airlines, op.for United Express",1,Commercial
"SkyWest Airlines, opf American Eagle",3,Commercial
Skyjet Aviation,1,Private
Skymark Airlines,1,Commercial
SmartLynx Airlines Estonia,1,Commercial
Sociedad De Transporte Aéreo Movi Air SPA,1,Commercial
Sourdough Air Service,1,Commercial
South Sudan Supreme Airlines,1,Commercial
South Supreme Airlines,1,Commercial
"South West Aviation, lsf Slav-Air",1,Commercial
Southwest Airlines,7,Commercial
SpiceJet,1,Private
SprintAir,1,Commercial
Sriwijaya Air,2,Commercial
Star Jet,2,Private
Starjet Inc.,1,Private
Stein's Aircraft Services,1,Commercial
Strait Air,1,Commercial
Summit Air,2,Commercial
Sundance Airport FBO,1,Commercial
Sunwing Airlines,1,Commercial
Supreme Airlines,1,Commercial
Swift Air,1,Commercial
"Swiftair, opf West Atlantic (UK)",1,Commercial
"TAP Express, opb White Airways",1,Commercial
Taban Air,1,Commercial
Tailwind Air Service,1,Commercial
Talon Air,1,Commercial
Taquan Air,2,Commercial
Tara Air,3,Commercial
"Tarco Air, opf Sudan Airways",1,Commercial
Tarco Aircraft Funding,1,Commercial
Tassili Airlines,1,Commercial
Tatra Jet,1,Private
Thai Airways International,1,Commercial
Thunder Airlines,1,Commercial
Tibet Airlines,1,Commercial
Torres Strait Air,1,Commercial
Trans Maldivian Airways,4,Commercial
Transair (Cargo),1,Cargo
Transwest Air,3,Commercial
Tri-MG Airlines,1,Commercial
Trigana Air Service,3,Commercial
Tropic Air,1,Commercial
Tropic Air Charters,1,Private
Tropic Ocean Airways,1,Commercial
Tropicair,1,Commercial
Tropical Air,1,Commercial
TruJet,1,Private
True North Airways,1,Commercial
US-Bangla Airlines,2,Commercial
USMX AirLink,1,Commercial
"UTair-Cargo, opf UN",1,Cargo
Ukraine Air Alliance,1,Commercial
Ukraine International Airlines,1,Commercial
Uni Air,1,Commercial
Union Gas Air Ventures I,1,Commercial
United Aircraft Corporation,1,Commercial
United Airlines,7,Commercial
"United Express, opb Air Wisconsin",1,Commercial
"United Express, opb Republic Airlines",2,Commercial
"United Express, opb SkyWest Airlines",1,Commercial
Unity Airlines,1,Commercial
Ural Airlines,2,Commercial
Utair,3,Commercial
Valan Int'l Cargo,1,Cargo
Verijet,1,Private
Virgin Australia Airlines,1,Commercial
VistaJet,1,Private
Voyageur Airways,1,Commercial
West Coast Air Services,1,Commercial
WestJet,2,Private
WestJet Encore,2,Private
Western Air,2,Commercial
Western Air Express,1,Commercial
Westwind Air Service,1,Commercial
Windward Express Airways,1,Commercial
Wings Air,1,Commercial
Wizz Air,1,Commercial
World Atlantic Airlines,1,Commercial
Worldwide Jet Charter,1,Private
Wright Air Service,1,Commercial
Xiamen Airlines,1,Commercial
Yakutat Coastal Airlines,1,Commercial
Yakutia Airlines,1,Commercial
Yeti Airlines,1,Commercial
ZAM Air Service,1,Commercial
easyJet,3,Private
easyJet Europe,1,Private
private,107,Private
