operator,accidents,category
Eva Air,1,Commercial
Everts Air Cargo,3,Cargo
Everts Air Fuel,1,Commercial
Executive Aviation Investors,1,Unknown
Executive Business Aviation Inc,1,Unknown
Expectra Aviation Inc.,1,Unknown
Exploits Valley Air Services,1,Commercial
FAA,1,Unknown
FIGAS,1,Unknown
FedEx,1,Unknown
"FedEx, opb CSA Air",1,Commercial
"FedEx, opb Corporate Air",1,Commercial
Feniks,2,Unknown
Ferreteria e Implementos San Francisco,1,Unknown
Finnair,1,Commercial
Flamingo Air Charter,1,Private
Flex Air Charters,1,Private
Fly Air Africa Aviation,1,Commercial
Fly Exclusive,1,Unknown
Fly Jamaica Airways,1,Commercial
Fly-SAX,1,Unknown
FlyMontserrat,1,Unknown
Flyadeal,1,Unknown
Flybe,3,Unknown
Flybondi,1,Unknown
Flying America,1,Unknown
"Flying Lion's Co., Ltd.",1,Unknown
Flyzar,1,Unknown
Freedom Airline,1,Commercial
Freight Runners Express,2,Cargo
French AF,1,Unknown
Friday Harbor Seaplane Tours,1,Unknown
Frontier Airlines,3,Commercial
GAM,1,Unknown
GF Aviation LLC,1,Unknown
GG Rent,1,Unknown
GH Equipment LLC,1,Unknown
GP Aviation LLC,1,Unknown
Galeyr Airline,1,Commercial
Gama Aviation Signature,1,Unknown
Gem Air,1,Commercial
Gemini Air Group,1,Commercial
Genel Havacilik,1,Unknown
Georgia Crown Distributing Co.,1,Unknown
Georgia Jet,1,Private
German AF,1,Unknown
Germania,1,Unknown
Global Avionics LLC,1,Unknown
GoJump Oceanside,2,Unknown
GoSkydive,1,Unknown
Gol,1,Unknown
Golden Wings Aviation,1,Unknown
Golden Wings Charter,1,Private
Goma Express,1,Unknown
Gomair,2,Commercial
Gouvernement du Québec,1,Unknown
Gov. of Newfoundland and Labrador,1,Unknown
Government of Madhya Pradesh,1,Unknown
Grand Canyon Airlines,2,Commercial
Grant Aviation,5,Unknown
Greenpeace Brasil,1,Unknown
Grodno Aircompany,1,Commercial
Guardian Flight,1,Unknown
Guicango,1,Unknown
H&S Air,1,Commercial
HLAF AETA,1,Unknown
HOP!,1,Unknown
Haedo Air LLC,1,Commercial
